m_name,director,cast,story,runtime(분),m_date,genre1,genre2,m_age,create_date,modify_date,
,마음의 고향,윤용규,"변기종,오헌용,남승민,유민,최은희",1,76,1949,드라마,,all,,,
,피아골,이강천,"노경희, 이예춘, 김진규, 허장강",1,106,1955,드라마,사회물,all,,,
,우리들,윤가은,"최수인, 설혜인, 이서연",1,94,2016,드라마,,all,,,
,이어도,김기영,"이화시, 김정철, 최윤석, 권미혜",1,110,1977,스릴러,공포,19,,,
,살인나비를 쫓는 여자,김기영,"김자옥,김정철,김만,남궁원",1,110,1978,멜로,로맨스,19,,,
,짝코,임권택,"김희라,최윤석,방희,김정란,박애나",1,110,1980,액션,스릴러,19,,,
,피막,이두용,"유지인, 남궁원, 김윤경, 황정순",1,93,1980,드라마,스릴러,19,,,
,만다라,임권택,"전무송, 안성기, 방희",1,105,1981,드라마,종교,19,,,
,꼬방동네 사람들,배창호,"김보연, 안성기, 김희라",1,108,1982,드라마,사회물,19,,,
,바보선언,이장호,"이보희, 김명곤, 이희성",1,97,1983,드라마,사회물,19,,,
,깊고 푸른 밤,배창호,"안성기, 장미희, 최민희",1,109,1985,드라마,로맨스,19,,,
,씨받이,임권택,"강수연, 이구순",1,95,1986,드라마,사극,19,,,
,우묵배미의 사랑,장선우,"박중훈, 최명길, 유혜리",1,114,1990,드라마,멜로,19,,,
,그들도 우리처럼,박광수,"문성근, 박중훈, 심혜진, 황해, 박규채",1,100,1990,드라마,멜로,19,,,
,경마장 가는 길,장선우,"강수연 , 문성근 , 김보연 , 윤일주 , 권일정",1,138,1991,드라마,멜로,19,,,
,꽃잎,장선우,"이정현 , 문성근 , 설경구 , 박철민 , 추상미",1,101,1996,드라마,사회물,19,,,
,초록 물고기,이창동,"한석규 , 심혜진 , 문성근 , 명계남 , 김용만 ",1,114,1997,드라마,액션,19,,,
,올드보이,박찬욱,"최민식, 유지태, 강혜정",1,120,2003,드라마,스릴러,19,,,
,바보들의 행진,하길종,"윤문섭, 하재영, 이용옥, 김영숙",1,117,1975,드라마,멜로,19,,,
,돼지가 우물에 빠진날,홍상수,"김의성, 박진성, 조은숙, 이응경",1,113,1996,드라마,사회물,19,,,
,마부,강대진,"김승호, 황정순, 신영균, 조미령",1,97,1961,드라마,가족,19,,,
,물레방아,이만희,"신영균, 고은아, 최남현, 허장강, 조항",1,92,1966,멜로,,19,,,
,안개,김수용,"신성일, 윤정희, 김정철, 이낙훈",1,79,1967,드라마,,19,,,
,귀로,이만희,"김진규, 문정숙, 김정철, 이용",1,90,1967,드라마,멜로,19,,,
,장군의 수염,이성구,"신성일, 윤정희, 김승호, 김성옥",1,103,1968,드라마,,19,,,
